 TS, Iref, Isig, ATN, BC, RH, T, FR, Vbat
$2022-03-10 15:26:25,6343397,7245503,0.577672,12.042,2.17594,24.02533,100.3,7.1
$2022-03-10 15:26:27,6342674,7244267,0.583498,15.6981,2.15763,24.02533,100.3,7.1
$2022-03-10 15:26:29,6342191,7242983,0.5937204,27.5974,2.15763,24.03868,100.6,7.1
$2022-03-10 15:26:37,6343753,7237502,0.694355,58.5264,2.04623,24.05203,130.6,7.09
$2022-03-10 15:26:39,6343605,7235947,0.7136469,35.5598,2.00046,24.09476,147.6,7.09
$2022-03-10 15:26:41,6343070,7234460,0.7259283,22.7352,1.88602,24.10811,147.9,7.09
$2022-03-10 15:26:43,6342524,7233170,0.7353201,17.2678,1.88602,24.10811,148.2,7.09
$2022-03-10 15:26:45,6341918,7231936,0.7429972,14.0945,1.78988,24.12146,148.2,7.09
$2022-03-10 15:26:47,6341300,7230606,0.7518311,16.1895,1.78988,24.13748,148.6,7.09
$2022-03-10 15:26:49,6340705,7229421,0.7589922,13.0839,1.7258,24.15083,148.9,7.09
$2022-03-10 15:26:51,6340040,7228171,0.7659273,12.7271,1.7258,24.16419,149.3,7.09
$2022-03-10 15:26:53,6339362,7226903,0.7729454,12.7916,1.70901,24.16419,149.3,7.09
$2022-03-10 15:26:55,6338691,7225671,0.7795811,12.1159,1.71206,24.19356,149.3,7.09
$2022-03-10 15:26:57,6338019,7224360,0.7873049,14.0715,1.72732,24.22027,149.3,7.09
$2022-03-10 15:26:59,6337274,7222995,0.7945776,13.3238,1.64797,24.20691,148.9,7.09
$2022-03-10 15:27:01,6336586,7221688,0.802,13.1698,1.61288,24.22027,149.6,7.09
$2022-03-10 15:27:03,6335819,7220300,0.8092794,13.3462,1.64797,24.22027,149.3,7.09
$2022-03-10 15:27:05,6335068,7218940,0.8164167,13.0315,1.64797,24.24964,149.6,7.09
$2022-03-10 15:27:07,6334340,7217584,0.823905,13.751,1.68154,24.29237,149.6,7.09
$2022-03-10 15:27:09,6333564,7216198,0.8309994,12.9956,1.63119,24.24964,149.3,7.09
$2022-03-10 15:27:11,6332821,7214817,0.838603,13.9861,1.61593,24.30572,149.3,7.09
$2022-03-10 15:27:13,6332040,7213385,0.8462934,14.1348,1.58541,24.31907,149.3,7.09
$2022-03-10 15:27:15,6331234,7211893,0.8544188,14.8898,1.58541,24.33242,149.6,7.09
$2022-03-10 15:27:17,6330461,7210528,0.8612795,12.5177,1.61746,24.33242,149.6,7.09
$2022-03-10 15:27:19,6329653,7209166,0.8676052,11.6472,1.57015,24.34844,149.3,7.09
$2022-03-10 15:27:21,6328856,7207785,0.8743505,12.373,1.53811,24.36179,149.6,7.09
$2022-03-10 15:27:23,6328068,7206423,0.8809862,12.1739,1.57168,24.3885,149.3,7.09
$2022-03-10 15:27:25,6327240,7204979,0.8881178,13.0695,1.57168,24.3885,149.6,7.09
$2022-03-10 15:27:27,6326415,7203564,0.8949022,12.4488,1.55642,24.41787,149.6,7.09
$2022-03-10 15:27:29,6325601,7202160,0.9017076,12.4672,1.58999,24.44724,149.6,7.09
$2022-03-10 15:27:31,6324736,7200647,0.9092321,13.7945,1.5259,24.43122,149.6,7.09
$2022-03-10 15:27:33,6323892,7199220,0.9158792,12.1624,1.55642,24.44724,149.6,7.09
$2022-03-10 15:27:35,6323059,7197818,0.9223623,11.7731,1.57473,24.46326,149.6,7.09
$2022-03-10 15:27:40,6321162,7194522,0.9383411,12.8636,1.5259,24.47662,149.6,7.09
$2022-03-10 15:27:42,6320281,7192979,0.9460449,14.1045,1.49386,24.50599,149.6,7.09
$2022-03-10 15:27:44,6319397,7191363,0.9547386,15.9501,1.51217,24.53269,149.6,7.09
$2022-03-10 15:27:46,6318563,7189759,0.9640207,17.0144,1.51217,24.51934,149.6,7.09
