TS, Iref, Isig, ATN, BC, RH, T, FR, Vbat
2021-12-13 16:01:12, 6135636, 7184228, 0.2526455, -1.0141, 21.34737, 27.22972, 101.0, 7.93
2021-12-13 16:01:14, 6135614, 7184253, 0.2519484, -1.8746, 21.37942, 27.22972, 100.6, 7.93
2021-12-13 16:01:16, 6135606, 7184188, 0.2527218, 2.0984, 21.42824, 27.24307, 100.6, 7.93
2021-12-13 16:01:18, 6135565, 7184148, 0.2526169, -0.2833, 21.45724, 27.24307, 100.6, 7.93
2021-12-13 16:01:20, 6135559, 7184173, 0.2522058, -1.1162, 21.55337, 27.22972, 100.6, 7.93
2021-12-13 16:01:22, 6135551, 7184164, 0.2522058, 0.0000, 21.58541, 27.22972, 101.0, 7.93
2021-12-13 16:01:24, 6135537, 7184161, 0.2520237, -0.4941, 21.58541, 27.22972, 100.6, 7.93
2021-12-13 16:01:26, 6135542, 7184137, 0.2524300, 1.1004, 21.57016, 27.22972, 100.6, 7.93
2021-12-13 16:01:28, 6135511, 7184078, 0.2527637, 0.8973, 21.52133, 27.24307, 100.6, 7.93
2021-12-13 16:01:30, 6135469, 7184038, 0.2526379, -0.3401, 21.64798, 27.21637, 101.0, 7.93
2021-12-13 16:01:32, 6135435, 7183998, 0.2526321, -0.0155, 21.66323, 27.21637, 100.6, 7.93
2021-12-13 16:01:34, 6135409, 7183974, 0.2525473, -0.2293, 21.69528, 27.22972, 100.6, 7.93
2021-12-13 16:01:36, 6135367, 7183910, 0.2527494, 0.5487, 21.66323, 27.21637, 100.6, 7.93
2021-12-13 16:01:38, 6135331, 7183901, 0.2523041, -1.2111, 21.78988, 27.21637, 100.6, 7.93
2021-12-13 16:01:40, 6135327, 7183905, 0.2521982, -0.2866, 21.86923, 27.21637, 100.6, 7.93
2021-12-13 16:01:42, 6135342, 7183886, 0.2526875, 1.3283, 21.93332, 27.22972, 100.6, 7.93
2021-12-13 16:01:44, 6135329, 7183856, 0.2529106, 0.6058, 21.85397, 27.24307, 100.6, 7.93
2021-12-13 16:01:46, 6135299, 7183836, 0.2527218, -0.5115, 21.79141, 27.22972, 100.6, 7.93
2021-12-13 16:01:48, 6135257, 7183758, 0.2530909, 1.0002, 21.80819, 27.22972, 100.6, 7.93
2021-12-13 16:01:50, 6135236, 7183743, 0.2530022, -0.2408, 21.82345, 27.22972, 100.6, 7.93
2021-12-13 16:01:52, 6135211, 7183709, 0.2530642, 0.1682, 21.88601, 27.21637, 100.6, 7.93
2021-12-13 16:01:54, 6135205, 7183679, 0.2533979, 0.9050, 21.93332, 27.22972, 100.6, 7.93
2021-12-13 16:01:56, 6135187, 7183648, 0.2535172, 0.3233, 21.82345, 27.21637, 100.6, 7.93
2021-12-13 16:01:58, 6135158, 7183637, 0.2532101, -0.8293, 21.95010, 27.24307, 101.0, 7.93
2021-12-13 16:02:00, 6135118, 7183595, 0.2531548, -0.1501, 21.96536, 27.24307, 100.6, 7.93
2021-12-13 16:02:02, 6135087, 7183568, 0.2530499, -0.2843, 21.98215, 27.24307, 100.6, 7.93
2021-12-13 16:02:04, 6135088, 7183543, 0.2534056, 0.9654, 21.96536, 27.22972, 100.6, 7.93
2021-12-13 16:02:06, 6135045, 7183542, 0.2526875, -1.9471, 22.05997, 27.20302, 100.6, 7.93
2021-12-13 16:02:08, 6135037, 7183522, 0.2528486, 0.4338, 22.10727, 27.21637, 100.6, 7.93
2021-12-13 16:02:10, 6134991, 7183467, 0.2528820, 0.0898, 22.12406, 27.24307, 101.0, 7.93
2021-12-13 16:02:12, 6134969, 7183457, 0.2526455, -0.6413, 22.15610, 27.21637, 100.6, 7.93
2021-12-13 16:02:14, 6134960, 7183424, 0.2529736, 0.8528, 22.12406, 27.22972, 100.6, 7.93
2021-12-13 16:02:16, 6134899, 7183374, 0.2526531, -0.8626, 22.08896, 27.21637, 100.6, 7.93
2021-12-13 16:02:18, 6134940, 7183402, 0.2529163, 0.7142, 22.18814, 27.22972, 100.6, 7.93
2021-12-13 16:02:20, 6134931, 7183379, 0.2530851, 0.4577, 22.12406, 27.21637, 100.6, 7.93
