1952, 1754, 25.24, 26.09, 143.01
2048, 1769, 23.73, 23.50, 142.49
4095, 4095, 22.33, 32.88, 31.92, 0
4095, 4090, 22.53, 34.12, 69.73, 0
4095, 4095, 22.68, 33.58, 7.97, 0
4095, 4095, 22.97, 33.49, 16.11, 0
4095, 4095, 23.41, 33.00, 26.95, 0
4095, 4073, 23.45, 33.91, 69.73, 0
4095, 4095, 23.28, 33.66, 8.67, 0
4095, 4092, 23.59, 33.30, 8.12, 0
4095, 4076, 23.48, 33.02, 7.63, 0
4095, 4074, 23.53, 33.15, 28.38, 0
3414, 2921, 23.77, 33.52, 7.81, 0
3413, 2920, 23.88, 33.57, 15.05, 0
3387, 2898, 24.05, 33.36, 70.50, 0
3387, 2896, 24.13, 33.23, 70.86, 0
3407, 2921, 24.14, 33.20, 71.01, 0
3383, 2897, 24.18, 33.15, 71.14, 0
3382, 2898, 24.28, 32.99, 70.98, 0
3408, 2915, 29.38, 28.85, 9.61, 0
3378, 2889, 28.67, 29.85, 70.65, 0
3440, 2941, 21.51, 37.85, 7.54, 0
3436, 2943, 21.93, 37.94, 13.00, 0
3434, 2940, 22.43, 37.65, 8.18, 0
3444, 2950, 22.74, 36.82, 13.46, 0
3581, 3060, 24.13, 35.99, 76.39, 0
3404, 2931, 26.23, 33.63, 70.34, 0
3421, 2932, 29.41, 31.76, 9.25, 0
3357, 2876, 34.23, 28.85, 10.31, 0
3363, 2886, 33.98, 28.98, 17.46, 0
3319, 2871, 32.19, 30.37, 70.40, 0
3317, 2845, 31.05, 31.18, 70.92, 0
3312, 2841, 30.26, 31.30, 70.95, 0
3329, 2855, 29.85, 31.44, 71.23, 0
3302, 2826, 29.47, 31.33, 71.47, 0
3316, 2843, 29.09, 31.24, 71.62, 0
3294, 2829, 28.83, 31.33, 71.69, 0
3293, 2845, 28.66, 31.29, 71.78, 0
3289, 2821, 28.45, 31.26, 71.78, 0
3288, 2816, 28.32, 31.15, 71.90, 0
3284, 2840, 28.21, 31.13, 71.96, 0
3310, 2821, 28.11, 31.18, 71.96, 0
3282, 2822, 27.97, 31.11, 71.96, 0
3310, 2836, 27.87, 31.13, 72.05, 0
3289, 2838, 27.76, 31.12, 72.17, 0
3308, 2838, 27.74, 31.13, 72.17, 0
3284, 2814, 27.61, 31.21, 72.24, 0
3303, 2842, 27.40, 31.12, 72.17, 0
3310, 2812, 27.39, 31.07, 72.24, 0
3310, 2823, 27.30, 31.13, 72.24, 0
3303, 2842, 27.26, 31.19, 72.24, 0
3285, 2841, 27.28, 31.09, 72.17, 0
3290, 2841, 27.12, 31.14, 72.14, 0
3289, 2821, 27.11, 31.23, 72.30, 0
3312, 2841, 27.09, 31.11, 72.17, 0
3312, 2845, 27.03, 31.06, 72.30, 0
3317, 2850, 26.99, 31.18, 13.46, 0
3313, 2847, 26.92, 31.27, 71.96, 0
3478, 2950, 28.08, 30.38, 78.03, 0
3478, 2985, 30.60, 28.17, 78.16, 0
3453, 2956, 32.42, 26.97, 78.40, 0
3465, 2981, 33.91, 26.05, 79.59, 0
3443, 2955, 35.16, 25.61, 79.10, 0
3441, 2949, 36.18, 25.26, 78.70, 0
3444, 2971, 36.99, 24.76, 78.64, 0
3453, 2954, 37.79, 24.24, 78.40, 0
3434, 2958, 38.42, 23.91, 78.09, 0
3445, 2953, 39.14, 23.52, 78.00, 0
3408, 2955, 39.65, 23.11, 78.03, 0
3402, 2917, 40.40, 22.68, 77.79, 0
3418, 2911, 40.74, 22.47, 77.67, 0
3390, 2925, 41.16, 21.94, 77.58, 0
3380, 2898, 41.76, 21.74, 77.76, 0
3228, 2771, 40.54, 22.35, 10.31, 0
4095, 3723, 45.45, 18.67, 12.79, 0
4095, 3708, 43.35, 19.50, 71.17, 0
4095, 3677, 41.84, 19.72, 71.47, 0
4095, 3694, 40.69, 19.86, 71.87, 0
4093, 3691, 39.83, 20.05, 71.99, 0
4095, 3689, 39.14, 20.13, 72.05, 0
4095, 3664, 38.49, 20.05, 72.27, 0
4095, 3671, 37.87, 20.14, 72.45, 0
4095, 3674, 37.38, 20.21, 72.51, 0
4095, 3671, 37.08, 20.39, 72.60, 0
4095, 3865, 37.40, 20.17, 79.38, 0
4095, 3711, 39.47, 18.68, 72.66, 0
4095, 3710, 38.64, 19.28, 72.66, 0
4095, 4095, 30.22, 23.88, 9.00, 0
4095, 4095, 30.40, 24.77, 77.48, 0
4095, 4095, 32.76, 23.79, 78.22, 0
4095, 4095, 34.73, 22.29, 79.01, 0
4095, 4095, 36.37, 21.13, 78.55, 0
4095, 4095, 37.47, 20.20, 78.16, 0
4095, 4095, 38.37, 19.39, 77.76, 0
4095, 4095, 39.17, 18.82, 77.48, 0
4095, 4094, 39.80, 18.38, 77.36, 0
4095, 4095, 40.23, 17.77, 77.27, 0
4095, 4095, 40.82, 17.67, 77.12, 0
4095, 4095, 41.30, 17.16, 77.18, 0
4095, 4095, 41.71, 16.76, 77.00, 0
4095, 4095, 42.12, 16.60, 76.81, 0
4095, 4095, 42.46, 16.24, 76.66, 0
4095, 4095, 42.87, 15.84, 76.63, 0
4095, 4095, 43.25, 15.58, 76.69, 0
4095, 4095, 43.63, 15.40, 76.69, 0
4095, 4095, 43.99, 15.17, 76.54, 0
4095, 4095, 44.34, 14.91, 76.42, 0
4095, 4095, 44.58, 14.60, 76.45, 0
4095, 4095, 45.01, 14.32, 76.54, 0
4095, 4095, 45.26, 14.20, 76.54, 0
4095, 4095, 45.59, 13.94, 76.26, 0
4095, 4095, 45.87, 13.69, 76.42, 0
4095, 4095, 46.20, 13.60, 76.42, 0
4095, 4095, 46.37, 13.57, 76.39, 0
4095, 4095, 46.64, 13.42, 76.23, 0
4095, 4095, 46.95, 13.11, 76.23, 0
4095, 4095, 47.30, 12.98, 76.14, 0
4095, 4095, 47.51, 13.02, 76.11, 0
4095, 4095, 47.66, 12.75, 76.11, 0
4095, 4095, 47.91, 12.46, 76.14, 0
4095, 4095, 48.08, 12.42, 75.96, 0
4095, 4095, 48.41, 12.25, 76.02, 0
4095, 4095, 48.63, 12.05, 75.96, 0
4095, 4095, 48.89, 11.94, 75.90, 0
4095, 4095, 49.10, 11.90, 75.96, 0
4095, 4095, 49.31, 11.64, 75.74, 0
4095, 4095, 49.44, 11.69, 75.96, 0
4095, 4095, 49.68, 11.57, 75.96, 0
4095, 4095, 49.89, 11.40, 75.93, 0
4095, 4095, 50.12, 11.31, 75.96, 0
4095, 4095, 50.37, 11.20, 75.74, 0
4095, 4095, 50.43, 11.14, 75.78, 0
4095, 4095, 50.63, 10.96, 75.78, 0
4095, 4095, 50.91, 10.84, 75.65, 0
4095, 4095, 51.08, 10.78, 75.78, 0
4095, 4095, 51.21, 10.64, 75.59, 0
4095, 4095, 51.32, 10.56, 75.65, 0
4095, 4095, 51.55, 10.42, 75.56, 0
4095, 4095, 51.71, 10.32, 75.65, 0
